id,title,authors,published_date,url,pdf
2504.00965v2,Regular Bohr-Sommerfeld rules for non-self-adjoint Berezin--Toeplitz operators and complex Lagrangian states,"Alix Deleporte, Yohann Le Floch",2025-04-01,http://arxiv.org/abs/2504.00965v2,http://arxiv.org/pdf/2504.00965v2
2504.00931v1,Moduli spaces of framed logarithmic and parabolic connections on a Riemann surface,"Indranil Biswas, Michi-aki Inaba, Arata Komyo, Masa-Hiko Saito",2025-04-01,http://arxiv.org/abs/2504.00931v1,http://arxiv.org/pdf/2504.00931v1
2504.00866v1,Virtual nonlinear nonholonomic constraints from a symplectic point of view,"Efstratios Stratoglou, Alexandre Anahory Simoes, Anthony Bloch, Leonardo Colombo",2025-04-01,http://arxiv.org/abs/2504.00866v1,http://arxiv.org/pdf/2504.00866v1
2503.23636v1,Some incarnations of Hamiltonian reduction in symplectic geometry and geometric representation theory,"Peter Crooks, Xiang Gao, Mitchell Pound, Casen Thompson",2025-03-31,http://arxiv.org/abs/2503.23636v1,http://arxiv.org/pdf/2503.23636v1
2503.24238v1,PhD Thesis: Shifted Contact Structures on Differentiable Stacks,Antonio Maglio,2025-03-31,http://arxiv.org/abs/2503.24238v1,http://arxiv.org/pdf/2503.24238v1
2503.23590v1,3D mirror symmetry in positive characteristic,"Shaoyun Bai, Jae Hee Lee",2025-03-30,http://arxiv.org/abs/2503.23590v1,http://arxiv.org/pdf/2503.23590v1
2503.23565v2,Topological consequences of null-geodesic refocusing and applications to $Z^x$ manifolds,Friedrich Bauermeister,2025-03-30,http://arxiv.org/abs/2503.23565v2,http://arxiv.org/pdf/2503.23565v2
2503.23525v2,"Moduli of special Lagrangians with boundary, I: Unobstructed Deformations",Vasanth Pidaparthy,2025-03-30,http://arxiv.org/abs/2503.23525v2,http://arxiv.org/pdf/2503.23525v2
2503.22650v1,Explicit non-free tensors,"Maxim van den Berg, Matthias Christandl, Vladimir Lysikov, Harold Nieuwboer, Michael Walter, Jeroen Zuiddam",2025-03-28,http://arxiv.org/abs/2503.22650v1,http://arxiv.org/pdf/2503.22650v1
2503.22290v1,Reduction of hybrid Hamiltonian systems with non-equivariant momentum maps,"Leonardo Colombo, María Emma Eyrea Irazú, María Eugenia García, Asier López-Gordón, Marcela Zuccalli",2025-03-28,http://arxiv.org/abs/2503.22290v1,http://arxiv.org/pdf/2503.22290v1
2503.22633v1,The moment polytope of matrix multiplication is not maximal,"Maxim van den Berg, Matthias Christandl, Vladimir Lysikov, Harold Nieuwboer, Michael Walter, Jeroen Zuiddam",2025-03-28,http://arxiv.org/abs/2503.22633v1,http://arxiv.org/pdf/2503.22633v1
2503.21742v1,Les Houches lectures on non-perturbative Seiberg-Witten geometry,"Loïc Bramley, Lotte Hollands, Subrabalan Murugesan",2025-03-27,http://arxiv.org/abs/2503.21742v1,http://arxiv.org/pdf/2503.21742v1
2503.21447v1,Quantisations of exactly solvable ghostly models,"Andreas Fring, Takano Taira, Bethan Turner",2025-03-27,http://arxiv.org/abs/2503.21447v1,http://arxiv.org/pdf/2503.21447v1
2503.20906v1,Speculations on higher Fukaya categories,"James Pascaleff, Nicolò Sibilla",2025-03-26,http://arxiv.org/abs/2503.20906v1,http://arxiv.org/pdf/2503.20906v1
2503.20948v1,Global SYZ mirror symmetry and homological mirror symmetry for principally polarized abelian varieties,"Haniya Azam, Catherine Cannizzo, Heather Lee, Chiu-Chu Melissa Liu",2025-03-26,http://arxiv.org/abs/2503.20948v1,http://arxiv.org/pdf/2503.20948v1
2503.20558v1,Contact Lie systems on Riemannian and Lorentzian spaces: from scaling symmetries to curvature-dependent reductions,"Rutwig Campoamor-Stursberg, Oscar Carballal, Francisco J. Herranz",2025-03-26,http://arxiv.org/abs/2503.20558v1,http://arxiv.org/pdf/2503.20558v1
